dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
higgs,sgd,1,False,0.01,0.1,0.9952487,45.63417170000321
higgs,sgd,8,False,0.01,0.1,0.9952476,10.37329960000352
higgs,sgd,32,False,0.01,0.1,0.9952489,6.4841317999962484
higgs,sgd,128,False,0.01,0.1,0.9962465,5.521592099990812
higgs,sgd,256,False,0.01,0.1,0.9973998,5.386874199990416
higgs,momentum,1,False,0.01,0.1,0.99527574,47.332193200010806
higgs,momentum,8,False,0.01,0.1,0.99525416,10.682748100007302
higgs,momentum,32,False,0.01,0.1,0.9952531,6.512338800006546
higgs,momentum,128,False,0.01,0.1,0.9952506,5.54356469999766
higgs,momentum,256,False,0.01,0.1,0.9952503,5.539095700005419
higgs,adagrad,1,False,0.01,0.1,1.0004258,51.084728900008486
higgs,adagrad,8,False,0.01,0.1,0.99702275,10.891727499998524
higgs,adagrad,32,False,0.01,0.1,0.9960836,6.6417909000010695
higgs,adagrad,128,False,0.01,0.1,0.9953295,5.5866383999964455
higgs,adagrad,256,False,0.01,0.1,0.99536544,5.441202099988004
higgs,sgd,1,True,0.01,0.1,0.99489814,58.68407179998758
higgs,sgd,8,True,0.01,0.1,0.99490476,19.36714759998722
higgs,sgd,32,True,0.01,0.1,0.99490666,14.438888000004226
higgs,sgd,128,True,0.01,0.1,0.9957966,13.274058299997705
higgs,sgd,256,True,0.01,0.1,0.9969561,13.277062299996032
higgs,momentum,1,True,0.01,0.1,0.9949232,63.632633400004124
higgs,momentum,8,True,0.01,0.1,0.99491376,20.008558599991375
higgs,momentum,32,True,0.01,0.1,0.99490994,15.499412500008475
higgs,momentum,128,True,0.01,0.1,0.9949082,13.645067200006451
higgs,momentum,256,True,0.01,0.1,0.9949084,13.47914569999557
higgs,adagrad,1,True,0.01,0.1,0.99502164,65.66511180000089
higgs,adagrad,8,True,0.01,0.1,0.99494857,20.28580269998929
higgs,adagrad,32,True,0.01,0.1,0.9949477,15.07278880001104
higgs,adagrad,128,True,0.01,0.1,0.9949607,13.974246099998709
higgs,adagrad,256,True,0.01,0.1,0.99498427,14.019091399997706
