dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,sgd,1,False,0.01,0.1,0.9957737604436654,150.770468600007
imdb,sgd,8,False,0.01,0.1,0.9994563901407346,26.74407690000953
imdb,sgd,32,False,0.01,0.1,0.9998676468373399,9.758623000001535
imdb,sgd,128,False,0.01,0.1,0.9999844669854623,5.093239699999685
imdb,sgd,256,False,0.01,0.1,0.9999955770502019,4.7749927999975625
imdb,momentum,1,False,0.01,0.1,0.9958246167159192,165.20788640000683
imdb,momentum,8,False,0.01,0.1,0.9994844139109382,27.56608319999941
imdb,momentum,32,False,0.01,0.1,0.999869257857557,9.864700199992512
imdb,momentum,128,False,0.01,0.1,0.9999693049980787,5.555852500008768
imdb,momentum,256,False,0.01,0.1,0.9999874718418614,4.601302900002338
imdb,adagrad,1,False,0.01,0.1,0.9976651498242938,178.2581227000046
imdb,adagrad,8,False,0.01,0.1,0.9997060813141692,33.73714050000126
imdb,adagrad,32,False,0.01,0.1,0.9999353620789722,11.270110299999942
imdb,adagrad,128,False,0.01,0.1,0.9999850556971736,7.274818200006848
imdb,adagrad,256,False,0.01,0.1,0.9999924922080561,4.643965199997183
imdb,sgd,1,True,0.01,0.1,0.996714,55.40620800000033
imdb,sgd,8,True,0.01,0.1,0.99957705,34.76992409999366
imdb,sgd,32,True,0.01,0.1,0.9999207,33.91150679999555
imdb,sgd,128,True,0.01,0.1,0.9999903,33.459938600004534
imdb,sgd,256,True,0.01,0.1,0.9999958,33.04345859999012
imdb,momentum,1,True,0.01,0.1,0.9967732,59.73338079999667
imdb,momentum,8,True,0.01,0.1,0.9996167,38.982800300000235
imdb,momentum,32,True,0.01,0.1,0.9999132,43.860912500007544
imdb,momentum,128,True,0.01,0.1,0.99997574,34.164611300002434
imdb,momentum,256,True,0.01,0.1,0.9999864,34.184313199992175
imdb,adagrad,1,True,0.01,0.1,0.99703497,68.81666029999906
imdb,adagrad,8,True,0.01,0.1,0.999594,36.53851939999731
imdb,adagrad,32,True,0.01,0.1,0.9998935,36.09654720000981
imdb,adagrad,128,True,0.01,0.1,0.99996877,42.46310910000466
imdb,adagrad,256,True,0.01,0.1,0.9999851,36.25703320000321
imdb,sgd,1,False,0.01,0.3,0.9873452690015327,150.2118688000046
imdb,sgd,8,False,0.01,0.3,0.9989810349161907,26.273717399992165
imdb,sgd,32,False,0.01,0.3,0.9998832109396036,10.56045429999358
imdb,sgd,128,False,0.01,0.3,0.999985789561085,5.695763200012152
imdb,sgd,256,False,0.01,0.3,0.9999932705482915,4.748123099998338
imdb,momentum,1,False,0.01,0.3,0.9874028654435101,163.99888199999987
imdb,momentum,8,False,0.01,0.3,0.9984062923948939,27.638145900011295
imdb,momentum,32,False,0.01,0.3,0.9995991680466814,10.483495200009202
imdb,momentum,128,False,0.01,0.3,0.9999199066282529,7.419605200004298
imdb,momentum,256,False,0.01,0.3,0.9999585367407402,5.071307499994873
imdb,adagrad,1,False,0.01,0.3,0.9945181357145045,177.48430129999178
imdb,adagrad,8,False,0.01,0.3,0.9991763174652732,29.46091380000871
imdb,adagrad,32,False,0.01,0.3,0.9998099594790695,10.01351310001337
imdb,adagrad,128,False,0.01,0.3,0.9999583310925273,7.095646100002341
imdb,adagrad,256,False,0.01,0.3,0.9999816374360974,4.663159800009453
imdb,sgd,1,True,0.01,0.3,0.99016744,55.608763199998066
imdb,sgd,8,True,0.01,0.3,0.9993985,35.279094900004566
imdb,sgd,32,True,0.01,0.3,0.9999248,34.92971399999806
imdb,sgd,128,True,0.01,0.3,0.9999893,32.10019480000483
imdb,sgd,256,True,0.01,0.3,0.99999666,35.90291289999732
imdb,momentum,1,True,0.01,0.3,0.99022305,58.482497000004514
imdb,momentum,8,True,0.01,0.3,0.99881023,44.53702469999553
imdb,momentum,32,True,0.01,0.3,0.9997064,37.00592250000045
imdb,momentum,128,True,0.01,0.3,0.9999237,33.60115190000215
imdb,momentum,256,True,0.01,0.3,0.9999529,40.03157979999378
imdb,adagrad,1,True,0.01,0.3,0.99547994,63.30491819999588
imdb,adagrad,8,True,0.01,0.3,0.99897814,38.19968869999866
imdb,adagrad,32,True,0.01,0.3,0.99973035,43.92189349999535
imdb,adagrad,128,True,0.01,0.3,0.99992114,37.92462259999593
imdb,adagrad,256,True,0.01,0.3,0.9999683,32.70680860000721
imdb,sgd,1,False,0.01,0.5,0.9789207612393398,149.64814560000377
imdb,sgd,8,False,0.01,0.5,0.9989948000608391,27.759892999994918
imdb,sgd,32,False,0.01,0.5,0.999872536551142,10.090843299985863
imdb,sgd,128,False,0.01,0.5,0.9999830903958757,6.297789399992325
imdb,sgd,256,False,0.01,0.5,0.9999940009380406,5.5298675000085495
imdb,momentum,1,False,0.01,0.5,0.9789617899153076,163.58066730000428
imdb,momentum,8,False,0.01,0.5,0.9973764918743104,30.01753729999473
imdb,momentum,32,False,0.01,0.5,0.9993289914192632,11.550675499995123
imdb,momentum,128,False,0.01,0.5,0.9998419629705486,7.507982900002389
imdb,momentum,256,False,0.01,0.5,0.999932684689896,5.598652000000584
imdb,adagrad,1,False,0.01,0.5,0.9949885109743735,175.4141099999979
imdb,adagrad,8,False,0.01,0.5,0.9986989893442344,28.686046999995597
imdb,adagrad,32,False,0.01,0.5,0.9996617427977212,10.785032699990552
imdb,adagrad,128,False,0.01,0.5,0.9999278592284733,7.260045500006527
imdb,adagrad,256,False,0.01,0.5,0.9999697824815462,5.166419799992582
imdb,sgd,1,True,0.01,0.5,0.98639786,53.021759899987956
imdb,sgd,8,True,0.01,0.5,0.99937457,36.50820330000715
imdb,sgd,32,True,0.01,0.5,0.9999261,29.495372199991834
imdb,sgd,128,True,0.01,0.5,0.9999883,32.01815120001265
imdb,sgd,256,True,0.01,0.5,0.99999547,30.396526099997573
imdb,momentum,1,True,0.01,0.5,0.98367715,56.542554100000416
imdb,momentum,8,True,0.01,0.5,0.9979601,39.68140850000782
imdb,momentum,32,True,0.01,0.5,0.9994873,31.592290100001264
imdb,momentum,128,True,0.01,0.5,0.9999083,31.97781529999338
imdb,momentum,256,True,0.01,0.5,0.99996257,37.370142400002806
imdb,adagrad,1,True,0.01,0.5,0.9961878,55.67763959999138
imdb,adagrad,8,True,0.01,0.5,0.9985672,35.57443690000218
imdb,adagrad,32,True,0.01,0.5,0.9995239,38.565769999986514
imdb,adagrad,128,True,0.01,0.5,0.999831,30.423318400004064
imdb,adagrad,256,True,0.01,0.5,0.99996936,29.713843200006522
imdb,sgd,1,False,0.01,0.7,0.9773985783243011,142.89533129999472
imdb,sgd,8,False,0.01,0.7,0.9990542548750224,26.657743300005677
imdb,sgd,32,False,0.01,0.7,0.9998803258799596,10.451439199998276
imdb,sgd,128,False,0.01,0.7,0.9999848934065567,5.1718825999996625
imdb,sgd,256,False,0.01,0.7,0.9999938076708392,4.724652799995965
imdb,momentum,1,False,0.01,0.7,0.9705306011983527,156.62168890000612
imdb,momentum,8,False,0.01,0.7,0.99640877514803,28.95461129999603
imdb,momentum,32,False,0.01,0.7,0.9991153163184194,10.692902399998275
imdb,momentum,128,False,0.01,0.7,0.9998677562735889,5.891275699992548
imdb,momentum,256,False,0.01,0.7,0.9999416568152419,5.354979899988393
imdb,adagrad,1,False,0.01,0.7,0.9939867983946611,165.5191277999984
imdb,adagrad,8,False,0.01,0.7,0.9981677475400246,27.341433399997186
imdb,adagrad,32,False,0.01,0.7,0.999534899105792,10.496692700005951
imdb,adagrad,128,False,0.01,0.7,0.9998986617669867,6.856127199993352
imdb,adagrad,256,False,0.01,0.7,0.9999528975283428,5.094566500003566
imdb,sgd,1,True,0.01,0.7,0.9863262,49.26941649999935
imdb,sgd,8,True,0.01,0.7,0.999394,34.46198320000258
imdb,sgd,32,True,0.01,0.7,0.9999225,29.72239459998673
imdb,sgd,128,True,0.01,0.7,0.99998903,31.720827800003462
imdb,sgd,256,True,0.01,0.7,0.9999968,30.83897369999613
imdb,momentum,1,True,0.01,0.7,0.97711563,56.57681220000086
imdb,momentum,8,True,0.01,0.7,0.99718773,39.88162130001001
imdb,momentum,32,True,0.01,0.7,0.9993252,30.376452599986806
imdb,momentum,128,True,0.01,0.7,0.9998888,31.904051899997285
imdb,momentum,256,True,0.01,0.7,0.9999603,37.480058499990264
imdb,adagrad,1,True,0.01,0.7,0.99426454,55.54977110000618
imdb,adagrad,8,True,0.01,0.7,0.9987779,35.45236149999255
imdb,adagrad,32,True,0.01,0.7,0.9995061,39.25058569999237
imdb,adagrad,128,True,0.01,0.7,0.999846,30.581798200000776
imdb,adagrad,256,True,0.01,0.7,1.0000106,29.535071300007985
imdb,sgd,1,False,0.01,0.9,0.9774470924240811,142.69149480000488
imdb,sgd,8,False,0.01,0.9,0.9990102306351252,26.757289500004845
imdb,sgd,32,False,0.01,0.9,0.9998788418319275,10.707665900001302
