dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
higgs,sgd,1,False,0.01,0.1,0.99524957,56.125740799994674
higgs,sgd,8,False,0.01,0.1,0.99524665,15.804587700011325
higgs,sgd,32,False,0.01,0.1,0.9952483,9.79748940000718
higgs,sgd,128,False,0.01,0.1,0.996341,6.72879130000365
higgs,sgd,256,False,0.01,0.1,0.9973682,7.596695100000943
higgs,momentum,1,False,0.01,0.1,0.995274,72.13616850000108
higgs,momentum,8,False,0.01,0.1,0.9952564,15.283736900004442
higgs,momentum,32,False,0.01,0.1,0.9952524,9.50920010000118
higgs,momentum,128,False,0.01,0.1,0.99525106,7.056388500001049
higgs,momentum,256,False,0.01,0.1,0.99525046,6.860848700001952
higgs,adagrad,1,False,0.01,0.1,0.9960028,72.91964160000498
higgs,adagrad,8,False,0.01,0.1,0.9987954,15.224151999995229
higgs,adagrad,32,False,0.01,0.1,0.9954517,9.121515100006945
higgs,adagrad,128,False,0.01,0.1,0.995401,7.743357300001662
higgs,adagrad,256,False,0.01,0.1,0.99532866,7.776727599994047
higgs,sgd,1,True,0.01,0.1,0.9948985,83.36541159999615
higgs,sgd,8,True,0.01,0.1,0.99490416,26.135232100001303
higgs,sgd,32,True,0.01,0.1,0.99490666,18.361338800008525
higgs,sgd,128,True,0.01,0.1,0.9956739,16.549527399998624
higgs,sgd,256,True,0.01,0.1,0.99700797,16.611020299998927
higgs,momentum,1,True,0.01,0.1,0.99492383,96.09856309999304
higgs,momentum,8,True,0.01,0.1,0.9949156,26.70053440000629
higgs,momentum,32,True,0.01,0.1,0.99491,18.813753700000234
higgs,momentum,128,True,0.01,0.1,0.99490833,16.103088999996544
higgs,momentum,256,True,0.01,0.1,0.994908,15.854795199993532
higgs,adagrad,1,True,0.01,0.1,0.99640584,93.81023800000548
higgs,adagrad,8,True,0.01,0.1,0.9949664,26.536906000008457
higgs,adagrad,32,True,0.01,0.1,0.99494565,18.06804289999127
higgs,adagrad,128,True,0.01,0.1,0.9949596,15.938937700004317
higgs,adagrad,256,True,0.01,0.1,0.9949852,16.202731600002153
higgs,sgd,1,False,0.01,1.0,0.9580926,63.21100039999874
higgs,sgd,8,False,0.01,1.0,0.98485094,14.422601300000679
higgs,sgd,32,False,0.01,1.0,0.9925288,8.935670499995467
higgs,sgd,128,False,0.01,1.0,0.9962103,7.549443299998529
higgs,sgd,256,False,0.01,1.0,0.99737084,7.399612099994556
higgs,momentum,1,False,0.01,1.0,0.9525205,69.39564199998858
higgs,momentum,8,False,0.01,1.0,0.9524994,14.405420900002355
higgs,momentum,32,False,0.01,1.0,0.95249987,9.106626900000265
higgs,momentum,128,False,0.01,1.0,0.9626728,7.669780500000343
higgs,momentum,256,False,0.01,1.0,0.97382617,6.910851000007824
higgs,adagrad,1,False,0.01,1.0,1.0014653,72.60368740001286
higgs,adagrad,8,False,0.01,1.0,0.9968556,15.18441800000437
higgs,adagrad,32,False,0.01,1.0,0.9917643,9.463395999991917
higgs,adagrad,128,False,0.01,1.0,0.99139464,7.919656099998974
higgs,adagrad,256,False,0.01,1.0,0.9885024,7.748469199999818
higgs,sgd,1,True,0.01,1.0,0.95169604,71.85606870001357
higgs,sgd,8,True,0.01,1.0,0.9827305,18.81612020000466
higgs,sgd,32,True,0.01,1.0,0.9911978,14.028572300012456
higgs,sgd,128,True,0.01,1.0,0.99562687,13.428406399994856
higgs,sgd,256,True,0.01,1.0,0.9969518,13.454741800000193
higgs,momentum,1,True,0.01,1.0,0.94910157,60.14144500000111
higgs,momentum,8,True,0.01,1.0,0.94907916,19.417172899993602
higgs,momentum,32,True,0.01,1.0,0.9490779,15.153944899997441
higgs,momentum,128,True,0.01,1.0,0.9580479,12.96569610000006
higgs,momentum,256,True,0.01,1.0,0.96963954,12.15833500000008
higgs,adagrad,1,True,0.01,1.0,0.98335063,60.26872279999952
higgs,adagrad,8,True,0.01,1.0,0.96981263,18.77064099999552
higgs,adagrad,32,True,0.01,1.0,0.95232046,13.450132300000405
higgs,adagrad,128,True,0.01,1.0,0.95076287,12.248377200012328
higgs,adagrad,256,True,0.01,1.0,0.95355254,11.97338770001079
higgs,sgd,1,False,0.01,2.5,0.95716166,42.956435700005386
higgs,sgd,8,False,0.01,2.5,0.98551726,10.266849799998454
higgs,sgd,32,False,0.01,2.5,0.9924578,5.9923767000000225
higgs,sgd,128,False,0.01,2.5,0.99613374,5.099183099999209
higgs,sgd,256,False,0.01,2.5,0.9973917,4.9145131999976
higgs,momentum,1,False,0.01,2.5,0.91647017,43.62082140000712
higgs,momentum,8,False,0.01,2.5,0.9300642,9.822668699998758
higgs,momentum,32,False,0.01,2.5,0.9354924,6.0701676000026055
higgs,momentum,128,False,0.01,2.5,0.9629779,5.283479799996712
higgs,momentum,256,False,0.01,2.5,0.973795,5.06459320000431
higgs,adagrad,1,False,0.01,2.5,0.99417114,46.467198300000746
higgs,adagrad,8,False,0.01,2.5,0.9933125,10.278696199995466
higgs,adagrad,32,False,0.01,2.5,0.99272823,6.201185999991139
higgs,adagrad,128,False,0.01,2.5,0.99135756,5.238962999996147
higgs,adagrad,256,False,0.01,2.5,0.988896,5.135975900004269
higgs,sgd,1,True,0.01,2.5,0.9521425,54.803508600001805
higgs,sgd,8,True,0.01,2.5,0.98302287,18.03403189999517
higgs,sgd,32,True,0.01,2.5,0.99143755,13.552632800012361
higgs,sgd,128,True,0.01,2.5,0.995733,12.320712800006731
higgs,sgd,256,True,0.01,2.5,0.9969952,12.123633299997891
higgs,momentum,1,True,0.01,2.5,0.92050564,55.56101150000177
higgs,momentum,8,True,0.01,2.5,0.93067527,18.47984370001359
higgs,momentum,32,True,0.01,2.5,0.9348036,13.687992499995744
higgs,momentum,128,True,0.01,2.5,0.9564445,12.740276299999095
higgs,momentum,256,True,0.01,2.5,0.96982396,13.607853099994827
higgs,adagrad,1,True,0.01,2.5,0.97189146,61.78728720000072
higgs,adagrad,8,True,0.01,2.5,0.9784082,19.697789099998772
higgs,adagrad,32,True,0.01,2.5,0.95649254,14.62534240000241
higgs,adagrad,128,True,0.01,2.5,0.9362029,13.288435299997218
higgs,adagrad,256,True,0.01,2.5,0.9347056,13.866887800002587
higgs,sgd,1,False,0.01,5.0,0.95701736,44.1281702999986
higgs,sgd,8,False,0.01,5.0,0.9851543,10.159974400012288
higgs,sgd,32,False,0.01,5.0,0.9924358,6.26289280000492
higgs,sgd,128,False,0.01,5.0,0.9962771,5.384416600005352
higgs,sgd,256,False,0.01,5.0,0.9973182,5.273362100007944
higgs,momentum,1,False,0.01,5.0,0.91589946,44.349378400002024
higgs,momentum,8,False,0.01,5.0,0.93006265,10.371989699997357
