dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
imdb,sgd,1,False,0.01,0.1,0.995773796745933,183.42688749999797
imdb,sgd,8,False,0.01,0.1,0.9994734076002385,33.38310590000765
imdb,sgd,32,False,0.01,0.1,0.9998725504006923,11.916072100008023
imdb,sgd,128,False,0.01,0.1,0.9999831630090226,6.148262799993972
imdb,sgd,256,False,0.01,0.1,0.9999948846387605,5.220718800002942
imdb,momentum,1,False,0.01,0.1,0.9958070771904666,194.83223420000286
imdb,momentum,8,False,0.01,0.1,0.9994904736932938,37.77550189998874
imdb,momentum,32,False,0.01,0.1,0.9998706415234699,13.83469810000679
imdb,momentum,128,False,0.01,0.1,0.9999719081136667,7.114686000000802
imdb,momentum,256,False,0.01,0.1,0.9999874346536618,5.6082890999969095
imdb,adagrad,1,False,0.01,0.1,0.9977415776966115,221.42318779999914
imdb,adagrad,8,False,0.01,0.1,0.999710561762674,35.84504889999516
imdb,adagrad,32,False,0.01,0.1,0.9999332672544051,13.164281699995627
imdb,adagrad,128,False,0.01,0.1,0.999984714792537,7.207456000003731
imdb,adagrad,256,False,0.01,0.1,0.9999937445578067,5.673592600011034
imdb,sgd,1,True,0.01,0.1,0.99671274,71.6514601999952
imdb,sgd,8,True,0.01,0.1,0.99960387,35.868810499989195
imdb,sgd,32,True,0.01,0.1,0.99992514,33.726018000001204
imdb,sgd,128,True,0.01,0.1,0.9999902,34.66080719999445
imdb,sgd,256,True,0.01,0.1,0.9999957,33.1565147999936
imdb,momentum,1,True,0.01,0.1,0.9967706,67.18437470000936
imdb,momentum,8,True,0.01,0.1,0.9996062,37.165987700005644
imdb,momentum,32,True,0.01,0.1,0.9999017,34.5292352999968
imdb,momentum,128,True,0.01,0.1,0.99997914,36.765062700011185
imdb,momentum,256,True,0.01,0.1,0.9999893,33.930717399998684
imdb,adagrad,1,True,0.01,0.1,0.9972365,55.696790700007114
imdb,adagrad,8,True,0.01,0.1,0.99961025,36.56962160000694
imdb,adagrad,32,True,0.01,0.1,0.9998927,28.06919160000689
imdb,adagrad,128,True,0.01,0.1,0.99996805,28.617420399998082
imdb,adagrad,256,True,0.01,0.1,0.99998283,32.51782569999341
imdb,sgd,1,False,0.01,1.0,0.9773109232161855,147.3555345000059
imdb,sgd,8,False,0.01,1.0,0.998973483553827,23.966278499996406
imdb,sgd,32,False,0.01,1.0,0.9998757555745614,10.236458799990942
imdb,sgd,128,False,0.01,1.0,0.9999843857854995,5.1249492000060854
imdb,sgd,256,False,0.01,1.0,0.9999938024834604,4.448962999987998
imdb,momentum,1,False,0.01,1.0,0.957878304070894,142.5722836000059
imdb,momentum,8,False,0.01,1.0,0.9948824231672537,25.722781100004795
imdb,momentum,32,False,0.01,1.0,0.9987631561219326,10.477256099999067
imdb,momentum,128,False,0.01,1.0,0.9998351706345296,4.885736399999587
imdb,momentum,256,False,0.01,1.0,0.999957497392485,4.278476100007538
imdb,adagrad,1,False,0.01,1.0,0.9938181036493507,160.38958139999886
imdb,adagrad,8,False,0.01,1.0,0.9983459670058756,29.598597199990763
imdb,adagrad,32,False,0.01,1.0,0.9993677888232089,10.983178099995712
imdb,adagrad,128,False,0.01,1.0,0.9998814192463326,7.717395300001954
imdb,adagrad,256,False,0.01,1.0,0.9999416827638314,5.232601000010618
imdb,sgd,1,True,0.01,1.0,0.98636603,47.39900299999863
imdb,sgd,8,True,0.01,1.0,0.9993888,32.138962800003355
imdb,sgd,32,True,0.01,1.0,0.99992275,34.4581548999995
imdb,sgd,128,True,0.01,1.0,0.99999154,28.87840290000895
imdb,sgd,256,True,0.01,1.0,0.99999547,26.995505700004287
imdb,momentum,1,True,0.01,1.0,0.96729106,49.37459849999868
imdb,momentum,8,True,0.01,1.0,0.995826,30.432407400003285
imdb,momentum,32,True,0.01,1.0,0.9992737,28.14116749999812
imdb,momentum,128,True,0.01,1.0,0.9998893,26.564301399994292
imdb,momentum,256,True,0.01,1.0,0.9999751,29.32136940000055
imdb,adagrad,1,True,0.01,1.0,0.9948115,50.772550599998794
imdb,adagrad,8,True,0.01,1.0,0.9986863,35.4713849999971
imdb,adagrad,32,True,0.01,1.0,0.9995048,33.311616799997864
imdb,adagrad,128,True,0.01,1.0,0.9995553,27.36681680000038
imdb,adagrad,256,True,0.01,1.0,0.9998991,28.299831200012704
imdb,sgd,1,False,0.01,2.5,0.97734674448765,146.75591249999707
imdb,sgd,8,False,0.01,2.5,0.9990155497745989,28.361957600005553
imdb,sgd,32,False,0.01,2.5,0.9998764952252228,9.527917300001718
imdb,sgd,128,False,0.01,2.5,0.9999867741631936,4.912178699989454
imdb,sgd,256,False,0.01,2.5,0.9999944233500726,4.325289200001862
imdb,momentum,1,False,0.01,2.5,0.8946349493453027,141.25248339999234
imdb,momentum,8,False,0.01,2.5,0.9905698790628156,24.294459099997766
imdb,momentum,32,False,0.01,2.5,0.9988480378456279,10.31855429999996
imdb,momentum,128,False,0.01,2.5,0.9998560805231503,5.237016800005222
imdb,momentum,256,False,0.01,2.5,0.9999424032300429,4.58642229999532
imdb,adagrad,1,False,0.01,2.5,0.9943153181378577,159.849541699994
imdb,adagrad,8,False,0.01,2.5,0.9984583156755327,26.51650179999706
imdb,adagrad,32,False,0.01,2.5,0.9993996041110572,10.80749300000025
imdb,adagrad,128,False,0.01,2.5,0.9997884787140928,5.858764699994936
imdb,adagrad,256,False,0.01,2.5,0.9998562455251707,5.252301000000443
imdb,sgd,1,True,0.01,2.5,0.98626524,54.002553199999966
imdb,sgd,8,True,0.01,2.5,0.99939454,29.604465299998992
imdb,sgd,32,True,0.01,2.5,0.99991965,29.30942770000547
imdb,sgd,128,True,0.01,2.5,0.9999904,34.18057620000036
imdb,sgd,256,True,0.01,2.5,0.99999666,29.637475900002755
imdb,momentum,1,True,0.01,2.5,0.9183427,49.267633399998886
imdb,momentum,8,True,0.01,2.5,0.9940022,30.039118399989093
imdb,momentum,32,True,0.01,2.5,0.9992531,27.401367300000857
imdb,momentum,128,True,0.01,2.5,0.99990904,28.480671299999813
imdb,momentum,256,True,0.01,2.5,0.9999626,26.270868200008408
imdb,adagrad,1,True,0.01,2.5,0.99725807,51.349745300001814
imdb,adagrad,8,True,0.01,2.5,0.99849445,30.706799300009152
imdb,adagrad,32,True,0.01,2.5,0.9992277,31.13224080001237
imdb,adagrad,128,True,0.01,2.5,0.99979746,33.755942000003415
imdb,adagrad,256,True,0.01,2.5,0.9998841,27.832206400009454
imdb,sgd,1,False,0.01,5.0,0.9772099502735327,145.40847720000602
imdb,sgd,8,False,0.01,5.0,0.9989964982283093,25.918236600002274
imdb,sgd,32,False,0.01,5.0,0.9998592920599458,10.270537800010061
imdb,sgd,128,False,0.01,5.0,0.999985762791862,6.204160599998431
imdb,sgd,256,False,0.01,5.0,0.9999931617667267,4.9308080000046175
imdb,momentum,1,False,0.01,5.0,0.7981263895079446,141.9715969999961
imdb,momentum,8,False,0.01,5.0,0.9896803427449531,25.949243800001568
imdb,momentum,32,False,0.01,5.0,0.9987476223257714,9.865984100004425
imdb,momentum,128,False,0.01,5.0,0.9998404938398822,5.263802600005874
imdb,momentum,256,False,0.01,5.0,0.9999431739040039,4.256080699997256
imdb,adagrad,1,False,0.01,5.0,0.9944761342171415,156.66180819999136
imdb,adagrad,8,False,0.01,5.0,0.9984256599665879,29.02921079999942
imdb,adagrad,32,False,0.01,5.0,0.9992627955796516,9.812462499990943
imdb,adagrad,128,False,0.01,5.0,0.9997611784193465,6.55340819999401
imdb,adagrad,256,False,0.01,5.0,0.9999003780754546,4.311815699998988
imdb,sgd,1,True,0.01,5.0,0.98629606,51.024237699995865
imdb,sgd,8,True,0.01,5.0,0.999376,36.649944099990535
imdb,sgd,32,True,0.01,5.0,0.9999255,27.984514700001455
imdb,sgd,128,True,0.01,5.0,0.99999094,27.30122950000805
imdb,sgd,256,True,0.01,5.0,0.99999607,31.376062399998773
imdb,momentum,1,True,0.01,5.0,0.8631762,52.830069599993294
imdb,momentum,8,True,0.01,5.0,0.9939734,29.371709400002146
imdb,momentum,32,True,0.01,5.0,0.99925387,28.497103400004562
imdb,momentum,128,True,0.01,5.0,0.9999026,26.243259199996828
imdb,momentum,256,True,0.01,5.0,0.9999628,28.603591699997196
imdb,adagrad,1,True,0.01,5.0,0.9954798,48.56516140000895
imdb,adagrad,8,True,0.01,5.0,0.99836576,31.878245600004448
imdb,adagrad,32,True,0.01,5.0,0.9995036,27.985326200010604
imdb,adagrad,128,True,0.01,5.0,0.99959284,28.821271000007982
imdb,adagrad,256,True,0.01,5.0,0.9995953,32.73661780000839
imdb,sgd,1,False,0.05,0.1,0.9957373348424221,149.28467729999102
imdb,sgd,8,False,0.05,0.1,0.9994757725617642,24.539782699997886
imdb,sgd,32,False,0.05,0.1,0.9998709400401593,9.788704899998265
imdb,sgd,128,False,0.05,0.1,0.999954994314497,4.830051900004037
imdb,sgd,256,False,0.05,0.1,0.9999814491915548,4.358906499997829
imdb,momentum,1,False,0.05,0.1,0.9959413778822993,148.0130896000046
imdb,momentum,8,False,0.05,0.1,0.9995101227146675,24.446664200004307
imdb,momentum,32,False,0.05,0.1,0.9998900944018962,9.807248199998867
imdb,momentum,128,False,0.05,0.1,0.9999753185549416,6.172545199995511
imdb,momentum,256,False,0.05,0.1,0.9999882084830856,4.651630899999873
imdb,adagrad,1,False,0.05,0.1,0.9976294381379909,153.23318480000307
imdb,adagrad,8,False,0.05,0.1,0.9997097962593618,29.74791180000466
imdb,adagrad,32,False,0.05,0.1,0.9999260346743488,11.02804049999395
imdb,adagrad,128,False,0.05,0.1,0.9999807183865019,9.024924500001362
imdb,adagrad,256,False,0.05,0.1,0.9999909905555728,5.316388100007316
imdb,sgd,1,True,0.05,0.1,0.9966794,48.24185759999091
imdb,sgd,8,True,0.05,0.1,0.9995914,32.121492700011004
imdb,sgd,32,True,0.05,0.1,0.99989206,34.09373229999619
imdb,sgd,128,True,0.05,0.1,0.9999734,28.227887900007772
imdb,sgd,256,True,0.05,0.1,0.9999831,27.29752340000414
imdb,momentum,1,True,0.05,0.1,0.9968364,54.79003409999132
